Census Tract,County,Number of Families,Number of Families in Poverty,Percentage of Families in Poverty
1206.05,Paulding,1551.00,249.00,16.1
11,Whitfield,1292.00,209.00,16.2
207,Walker,1833.00,297.00,16.2
231.13,DeKalb,626.00,176.00,16.2
21,Chatham,448.00,73.00,16.3
236.01,DeKalb,545.00,89.00,16.3
1301.05,Forsyth,671.00,110.00,16.4
107.12,Richmond,2147.00,355.00,16.5
18,Clarke,508.00,84.00,16.5
1503,Butts,1486.00,247.00,16.6
119,Bibb,394.00,66.00,16.8
213,Houston,1127.00,190.00,16.9
109.03,Richmond,1253.00,217.00,17.3
13,Floyd,1681.00,292.00,17.4
206,Madison,672.00,117.00,17.4
2,Macon,416.00,73.00,17.6
1102,McIntosh,1177.00,208.00,17.7
1802.05,Barrow,894.00,158.00,17.7
213.03,DeKalb,1224.00,217.00,17.7
1701,Coweta,2112.00,375.00,17.8
219.06,DeKalb,1204.00,214.00,17.8
1601,Spalding,1459.00,262.00,18.0
118,Bibb,871.00,158.00,18.1
114.21,Fulton,863.00,157.00,18.2
202,Lee,411.00,75.00,18.3
1106.01,Bulloch,1846.00,342.00,18.5
1612,Spalding,2230.00,414.00,18.6
113.01,Fulton,902.00,169.00,18.7
21,Floyd,733.00,137.00,18.7
201,Madison,1246.00,234.00,18.8
238.03,DeKalb,1110.00,210.00,18.9
117.01,Bibb,607.00,117.00,19.3
113.06,Fulton,527.00,102.00,19.4
134.07,Bibb,1217.00,236.00,19.4
233.13,DeKalb,1180.00,229.00,19.4
237,DeKalb,993.00,194.00,19.5
115,Muscogee,1378.00,270.00,19.6
1607,Spalding,1636.00,320.00,19.6
2003,Seminole,672.00,132.00,19.6
234.11,DeKalb,944.00,186.00,19.7
1509,Clarke,1104.00,220.00,19.9
20,Chatham,246.00,49.00,19.9
1406,Clarke,1164.00,233.00,20.0
1802.04,Barrow,572.00,115.00,20.1
219.10,DeKalb,1207.00,243.00,20.1
234.28,DeKalb,2321.00,466.00,20.1
236.02,DeKalb,478.00,96.00,20.1
213.01,DeKalb,644.00,130.00,20.2
213.07,DeKalb,793.00,160.00,20.2
235.06,DeKalb,1339.00,271.00,20.2
114.01,Lowndes,527.00,107.00,20.3
1506,Clarke,442.00,90.00,20.4
213.08,DeKalb,831.00,170.00,20.5
12.02,Hall,1327.00,273.00,20.6
2002,Seminole,947.00,197.00,20.8
214.13,DeKalb,798.00,166.00,20.8
213.05,DeKalb,1056.00,222.00,21.0
113.03,Fulton,1883.00,397.00,21.1
12,Richmond,1043.00,220.00,21.1
1801.04,Barrow,513.00,108.00,21.1
201,Walker,1588.00,335.00,21.1
222.04,DeKalb,1614.00,340.00,21.1
114.03,Lowndes,2232.00,473.00,21.2
117.02,Bibb,979.00,209.00,21.4
11,Chatham,350.00,76.00,21.7
1108,Bulloch,651.00,142.00,21.8
20,Muscogee,763.00,166.00,21.8
2.01,Hall,1428.00,312.00,21.9
234.10,DeKalb,829.00,183.00,22.1
218.13,DeKalb,632.00,140.00,22.2
216.05,DeKalb,1158.00,258.00,22.3
108.01,Coffee,1132.00,253.00,22.4
112.01,Fulton,827.00,187.00,22.6
1104.01,Bulloch,708.00,161.00,22.7
116,Chatham,533.00,121.00,22.7
112,Chatham,267.00,61.00,22.9
203.01,Walker,1296.00,298.00,23.0
109.05,Richmond,1208.00,279.00,23.1
23,Muscogee,393.00,91.00,23.2
1504,Clarke,172.00,40.00,23.3
1101,Bulloch,1004.00,235.00,23.4
1202,Terrell,383.00,90.00,23.5
1706.01,Coweta,2043.00,479.00,23.5
220.10,DeKalb,528.00,125.00,23.7
111,Muscogee,179.00,43.00,24.0
135.02,Bibb,373.00,90.00,24.1
23,Fulton,224.00,54.00,24.1
12,Whitfield,1721.00,418.00,24.3
133.02,Bibb,883.00,217.00,24.6
218.14,DeKalb,1065.00,262.00,24.6
221,DeKalb,756.00,186.00,24.6
12.01,Hall,1508.00,375.00,24.9
21,Muscogee,603.00,150.00,24.9
15,Chatham,136.00,34.00,25.0
15,Richmond,136.00,34.00,25.0
1502,Butts,1898.00,479.00,25.2
1103,McIntosh,1196.00,302.00,25.3
1105,Bulloch,813.00,206.00,25.3
113.02,Lowndes,443.00,113.00,25.5
108.02,Coffee,1030.00,265.00,25.7
235.01,DeKalb,793.00,204.00,25.7
214.14,DeKalb,656.00,169.00,25.8
214.16,DeKalb,516.00,133.00,25.8
231.07,DeKalb,1068.00,278.00,26.0
118,Fulton,317.00,84.00,26.5
1707,Coweta,2041.00,540.00,26.5
1102,Bulloch,2096.00,561.00,26.8
202,Walker,904.00,243.00,26.9
112,Muscogee,319.00,86.00,27.0
233.10,DeKalb,1967.00,532.00,27.1
114.02,Lowndes,482.00,132.00,27.4
234.21,DeKalb,1753.00,480.00,27.4
1609,Spalding,569.00,159.00,27.9
1106.02,Bulloch,1267.00,357.00,28.2
236.03,DeKalb,777.00,220.00,28.3
11.02,Hall,931.00,264.00,28.4
214.17,DeKalb,871.00,247.00,28.4
24,Fulton,404.00,115.00,28.5
132.01,Bibb,1531.00,440.00,28.7
1104,Walton,1768.00,509.00,28.8
113,Chatham,389.00,112.00,28.8
238.02,DeKalb,822.00,239.00,29.1
112.02,Fulton,838.00,246.00,29.4
1703.05,Coweta,2135.00,627.00,29.4
1403,Clarke,1124.00,331.00,29.5
201.05,Houston,1742.00,517.00,29.7
214.10,DeKalb,1060.00,316.00,29.8
214.09,DeKalb,621.00,188.00,30.3
220.09,DeKalb,967.00,297.00,30.7
19,Clarke,599.00,185.00,30.9
220.05,DeKalb,1001.00,314.00,31.4
114.20,Fulton,1447.00,456.00,31.5
231.08,DeKalb,868.00,282.00,32.5
21,Fulton,341.00,112.00,32.8
206,DeKalb,500.00,166.00,33.2
107.11,Richmond,712.00,239.00,33.6
1203,Terrell,714.00,240.00,33.6
11,Floyd,478.00,163.00,34.1
16,Floyd,725.00,249.00,34.3
107.10,Richmond,1235.00,426.00,34.5
137,Bibb,256.00,89.00,34.8
131.02,Bibb,944.00,329.00,34.9
23,Chatham,436.00,153.00,35.1
1104.03,Bulloch,928.00,328.00,35.3
113.05,Fulton,942.00,335.00,35.6
112,Dougherty,939.00,336.00,35.8
1404,Clarke,796.00,285.00,35.8
231.12,DeKalb,878.00,318.00,36.2
13,Whitfield,871.00,319.00,36.6
14.03,Dougherty,637.00,234.00,36.7
1603,Spalding,780.00,286.00,36.7
2,Richmond,528.00,194.00,36.7
25,Fulton,324.00,119.00,36.7
110,Bibb,1115.00,410.00,36.8
1405,Clarke,402.00,148.00,36.8
219.09,DeKalb,1488.00,547.00,36.8
1303,Clarke,1220.00,462.00,37.9
122,Bibb,497.00,190.00,38.2
131.01,Bibb,1114.00,425.00,38.2
1604,Spalding,1179.00,456.00,38.7
109.01,Chatham,824.00,320.00,38.8
120,Fulton,366.00,142.00,38.8
1204,Terrell,675.00,262.00,38.8
114,Muscogee,529.00,208.00,39.3
235.04,DeKalb,697.00,274.00,39.3
129,Bibb,392.00,155.00,39.5
22,Muscogee,647.00,259.00,40.0
18,Fulton,597.00,242.00,40.5
219.13,DeKalb,1093.00,446.00,40.8
18,Muscogee,313.00,128.00,40.9
119,Fulton,177.00,73.00,41.2
109,Lowndes,383.00,158.00,41.3
219.08,DeKalb,1033.00,427.00,41.3
16.01,Richmond,1009.00,418.00,41.4
220.07,DeKalb,817.00,338.00,41.4
126,Bibb,973.00,404.00,41.5
108,Lowndes,1159.00,487.00,42.0
14,Muscogee,311.00,134.00,43.1
124,Bibb,1127.00,492.00,43.7
11,Dougherty,1638.00,718.00,43.8
110,Fulton,565.00,252.00,44.6
138,Bibb,382.00,175.00,45.8
132.02,Bibb,612.00,283.00,46.2
220.08,DeKalb,1635.00,757.00,46.3
1104.04,Bulloch,211.00,99.00,46.9
14,Richmond,304.00,143.00,47.0
139,Bibb,430.00,204.00,47.4
1608,Spalding,933.00,446.00,47.8
2,Dougherty,701.00,342.00,48.8
123,Bibb,516.00,254.00,49.2
11.01,Hall,873.00,431.00,49.4
125,Bibb,593.00,302.00,50.9
110,Lowndes,728.00,374.00,51.4
111,Bibb,403.00,207.00,51.4
115,Bibb,225.00,116.00,51.6
128,Bibb,747.00,391.00,52.3
212.04,DeKalb,522.00,273.00,52.3
24,Muscogee,321.00,176.00,54.8
15,Dougherty,453.00,254.00,56.1
113.01,Lowndes,646.00,366.00,56.7
114,Dougherty,323.00,197.00,61.0
127,Bibb,390.00,240.00,61.5
12,Chatham,535.00,360.00,67.3
16,Muscogee,512.00,355.00,69.3
25,Muscogee,242.00,180.00,74.4
202.06,Chattahoochee,0.00,0.00,n/a
3,Chatham,198.00,0.00,0.0
30,Fulton,546.00,0.00,0.0
301.01,Jones,823.00,0.00,0.0
302.23,Cobb,1493.00,0.00,0.0
303.12,Cobb,1778.00,0.00,0.0
303.28,Cobb,1942.00,0.00,0.0
312.11,Cobb,736.00,0.00,0.0
35,Fulton,115.00,0.00,0.0
302.09,Cobb,2017.00,13.00,0.6
303.22,Cobb,1004.00,7.00,0.7
303.40,Cobb,1184.00,8.00,0.7
302.32,Cobb,1688.00,16.00,1.0
303.13,Cobb,2363.00,26.00,1.1
502.12,Gwinnett,3535.00,44.00,1.2
303.31,Cobb,1656.00,21.00,1.3
301.02,Columbia,2970.00,42.00,1.4
303.26,Cobb,1340.00,19.00,1.4
301.07,Cobb,1304.00,20.00,1.5
303.27,Cobb,1258.00,19.00,1.5
303.04,Columbia,2031.00,32.00,1.6
29,Fulton,288.00,5.00,1.7
303.41,Cobb,1249.00,21.00,1.7
501,Pickens,1870.00,31.00,1.7
302.20,Cobb,492.00,9.00,1.8
303.30,Cobb,1671.00,30.00,1.8
302.31,Cobb,2382.00,44.00,1.9
4,Fulton,322.00,6.00,1.9
303.37,Cobb,1329.00,26.00,2.0
303.18,Cobb,2350.00,49.00,2.1
32,Fulton,329.00,7.00,2.1
302.33,Cobb,1200.00,26.00,2.2
303.24,Cobb,1041.00,23.00,2.2
302.35,Cobb,1377.00,32.00,2.3
302.36,Cobb,1296.00,30.00,2.3
303.36,Cobb,2184.00,51.00,2.3
302.38,Cobb,1923.00,46.00,2.4
303.35,Cobb,1450.00,35.00,2.4
315.09,Cobb,2740.00,66.00,2.4
502,Pickens,1690.00,40.00,2.4
303.43,Cobb,1391.00,36.00,2.6
501.08,Gwinnett,2654.00,69.00,2.6
301.03,Columbia,906.00,24.00,2.7
302.18,Cobb,1556.00,42.00,2.7
303.07,Columbia,1832.00,49.00,2.7
312.06,Cobb,2533.00,68.00,2.7
302.34,Cobb,1815.00,50.00,2.8
302.02,Catoosa,1782.00,51.00,2.9
303.42,Cobb,1365.00,39.00,2.9
311.12,Cobb,1533.00,45.00,2.9
312.09,Cobb,1366.00,40.00,2.9
5.02,Dougherty,1256.00,36.00,2.9
303.39,Cobb,933.00,28.00,3.0
305,Oconee,627.00,19.00,3.0
303.32,Cobb,926.00,29.00,3.1
303.33,Cobb,1763.00,54.00,3.1
312.12,Cobb,775.00,24.00,3.1
50,Fulton,291.00,9.00,3.1
301,Oconee,3286.00,106.00,3.2
303.19,Cobb,1076.00,34.00,3.2
303.29,Cobb,1213.00,39.00,3.2
314.08,Cobb,1251.00,40.00,3.2
303.05,Effingham,2027.00,67.00,3.3
303.34,Cobb,989.00,33.00,3.3
406.09,Clayton,1280.00,42.00,3.3
312.07,Cobb,990.00,35.00,3.5
313.13,Cobb,2866.00,100.00,3.5
315.08,Cobb,1511.00,53.00,3.5
501.07,Gwinnett,1866.00,65.00,3.5
302.39,Cobb,2283.00,82.00,3.6
313.07,Cobb,1645.00,61.00,3.7
303.01,Effingham,1360.00,51.00,3.8
303.03,Catoosa,982.00,37.00,3.8
303.09,Columbia,2693.00,103.00,3.8
303.20,Cobb,2130.00,80.00,3.8
306.02,Cobb,1762.00,68.00,3.9
301.05,Columbia,1408.00,56.00,4.0
304.09,Cobb,1005.00,40.00,4.0
314.04,Cobb,1475.00,59.00,4.0
302.14,Cobb,2093.00,86.00,4.1
312.08,Cobb,1641.00,68.00,4.1
502.16,Gwinnett,2222.00,92.00,4.1
303,Oconee,1541.00,64.00,4.2
303.14,Cobb,2239.00,93.00,4.2
502.17,Gwinnett,2960.00,123.00,4.2
5,Fulton,912.00,39.00,4.3
302.19,Cobb,2632.00,119.00,4.5
302.26,Cobb,2425.00,109.00,4.5
303.01,Catoosa,2093.00,97.00,4.6
304.01,Catoosa,1945.00,89.00,4.6
302.15,Cobb,2401.00,113.00,4.7
302.27,Cobb,1901.00,90.00,4.7
502.05,Gwinnett,1102.00,52.00,4.7
302.01,Columbia,1288.00,62.00,4.8
303.08,Columbia,2538.00,122.00,4.8
304,Oconee,1942.00,95.00,4.9
401.01,Peach,533.00,26.00,4.9
301,Effingham,989.00,49.00,5.0
302.30,Cobb,3468.00,172.00,5.0
404.11,Clayton,3261.00,165.00,5.1
502.08,Gwinnett,1581.00,80.00,5.1
303.10,Cobb,2215.00,115.00,5.2
305.02,Cobb,1878.00,99.00,5.3
406.14,Clayton,1237.00,66.00,5.3
42.12,Chatham,1203.00,64.00,5.3
3.02,Whitfield,2480.00,137.00,5.5
3.04,Hall,996.00,55.00,5.5
301.03,Cobb,2410.00,133.00,5.5
302.24,Cobb,1755.00,97.00,5.5
303.04,Catoosa,988.00,54.00,5.5
3.02,Hall,1927.00,108.00,5.6
302.03,Columbia,1716.00,96.00,5.6
41,Chatham,503.00,28.00,5.6
4,Muscogee,666.00,38.00,5.7
309.01,Cobb,2153.00,124.00,5.8
5.01,Dougherty,1197.00,69.00,5.8
303.11,Cobb,1656.00,99.00,6.0
304.01,Effingham,1291.00,77.00,6.0
404.09,Clayton,1362.00,81.00,6.0
303.01,Jones,1849.00,113.00,6.1
3.05,Hall,1358.00,84.00,6.2
3,Glynn,1940.00,123.00,6.3
305.06,Cobb,1054.00,66.00,6.3
305.07,Cobb,1442.00,92.00,6.4
312.05,Cobb,1410.00,92.00,6.5
502.18,Gwinnett,923.00,60.00,6.5
29,Chatham,835.00,55.00,6.6
302.22,Cobb,1600.00,106.00,6.6
303.04,Effingham,1753.00,121.00,6.9
502.14,Gwinnett,2465.00,170.00,6.9
306,Oconee,813.00,57.00,7.0
303.06,Columbia,1464.00,105.00,7.2
304.08,Cobb,954.00,71.00,7.4
501.03,Gwinnett,2717.00,200.00,7.4
401.01,Dade,1288.00,97.00,7.5
4,Habersham,1274.00,99.00,7.8
303.02,Columbia,3227.00,258.00,8.0
3,Floyd,344.00,28.00,8.1
38,Fulton,37.00,3.00,8.1
306.01,Cobb,1718.00,141.00,8.2
315.05,Cobb,1643.00,135.00,8.2
304.07,Cobb,1238.00,105.00,8.5
302.03,Effingham,2207.00,189.00,8.6
302.29,Cobb,660.00,57.00,8.6
311.06,Cobb,2165.00,186.00,8.6
401.02,Dade,969.00,83.00,8.6
304.10,Cobb,1161.00,103.00,8.9
311.18,Cobb,1496.00,133.00,8.9
40.01,Chatham,1030.00,92.00,8.9
313.12,Cobb,2370.00,214.00,9.0
4.03,Glynn,892.00,82.00,9.2
502.13,Gwinnett,3408.00,314.00,9.2
311.11,Cobb,784.00,74.00,9.4
501.09,Gwinnett,1887.00,183.00,9.7
502,Fannin,1679.00,162.00,9.7
304.02,Columbia,2337.00,229.00,9.8
302.02,Effingham,1479.00,146.00,9.9
30,Chatham,531.00,53.00,10.0
301.06,Columbia,1077.00,108.00,10.0
309.02,Cobb,1458.00,146.00,10.0
406.15,Clayton,489.00,49.00,10.0
43,Chatham,541.00,54.00,10.0
501.06,Gwinnett,2735.00,273.00,10.0
306,Catoosa,1341.00,138.00,10.3
31,Fulton,329.00,34.00,10.3
42.11,Chatham,1169.00,120.00,10.3
315.03,Cobb,2456.00,256.00,10.4
311.17,Cobb,1530.00,160.00,10.5
304.02,Catoosa,1857.00,196.00,10.6
305.03,Columbia,2069.00,220.00,10.6
302.01,Catoosa,1240.00,132.00,10.7
42.08,Chatham,1121.00,120.00,10.7
4803,Hancock,535.00,57.00,10.7
305.05,Cobb,1664.00,179.00,10.8
406.08,Clayton,2708.00,292.00,10.8
406.20,Clayton,862.00,93.00,10.8
26,Chatham,331.00,36.00,10.9
3,Habersham,960.00,105.00,10.9
405.13,Clayton,1131.00,123.00,10.9
405.09,Clayton,1226.00,135.00,11.0
304.05,Cobb,1413.00,158.00,11.2
302.02,Columbia,822.00,93.00,11.3
502.10,Gwinnett,1734.00,196.00,11.3
501,Fannin,1098.00,125.00,11.4
4,Hall,1542.00,177.00,11.5
3.03,Hall,645.00,75.00,11.6
302,Oconee,1651.00,192.00,11.6
303.02,Jones,1768.00,209.00,11.8
301.03,Jones,612.00,73.00,11.9
305,Catoosa,1432.00,171.00,11.9
403.01,Peach,763.00,91.00,11.9
302.28,Cobb,1421.00,171.00,12.0
4.04,Glynn,3253.00,390.00,12.0
304.01,Columbia,605.00,73.00,12.1
501.02,Monroe,1047.00,128.00,12.2
305.05,Columbia,1752.00,216.00,12.3
305.06,Columbia,3088.00,381.00,12.3
40.02,Chatham,722.00,89.00,12.3
405.24,Clayton,1781.00,219.00,12.3
406.21,Clayton,2384.00,292.00,12.3
5,Hall,1891.00,232.00,12.3
301.04,Cobb,871.00,110.00,12.6
304.02,Effingham,1560.00,196.00,12.6
311.08,Cobb,1102.00,141.00,12.8
401.02,Peach,2790.00,358.00,12.8
402,Dade,1230.00,158.00,12.9
301.01,Cobb,2209.00,291.00,13.2
404.07,Clayton,813.00,107.00,13.2
301.06,Cobb,1821.00,244.00,13.4
301,Catoosa,1676.00,227.00,13.5
313.08,Cobb,1402.00,189.00,13.5
307,Cobb,1098.00,149.00,13.6
302,Jones,904.00,125.00,13.8
303.03,Effingham,666.00,92.00,13.8
5.01,Whitfield,906.00,128.00,14.1
302.04,Effingham,914.00,132.00,14.4
34,Chatham,882.00,130.00,14.7
404.08,Clayton,1756.00,258.00,14.7
502.09,Gwinnett,2271.00,336.00,14.8
403,Dade,922.00,139.00,15.1
501.01,Monroe,1632.00,246.00,15.1
4.01,Glynn,2150.00,328.00,15.3
39,Chatham,919.00,144.00,15.7
313.09,Cobb,2004.00,317.00,15.8
309.05,Cobb,1363.00,216.00,15.9
305.04,Columbia,931.00,150.00,16.1
311.10,Cobb,799.00,129.00,16.2
404.10,Clayton,1408.00,228.00,16.2
406.06,Clayton,616.00,100.00,16.2
305.04,Cobb,1679.00,273.00,16.3
5,Elbert,1454.00,239.00,16.4
314.09,Cobb,1282.00,212.00,16.5
314.05,Cobb,2184.00,362.00,16.6
404.14,Clayton,439.00,73.00,16.6
404.16,Clayton,826.00,137.00,16.6
49,Fulton,589.00,98.00,16.6
404.13,Clayton,1595.00,266.00,16.7
3,Elbert,1023.00,173.00,16.9
301.04,Jones,1954.00,331.00,16.9
405.12,Clayton,1374.00,233.00,17.0
307,Catoosa,2055.00,354.00,17.2
315.06,Cobb,1187.00,204.00,17.2
501.05,Gwinnett,857.00,147.00,17.2
310.05,Cobb,1240.00,216.00,17.4
311.15,Cobb,1140.00,199.00,17.5
402.04,Clayton,696.00,123.00,17.7
3.01,Whitfield,1000.00,178.00,17.8
303.45,Cobb,1123.00,205.00,18.3
313.06,Cobb,1095.00,201.00,18.4
306.03,Columbia,1034.00,193.00,18.7
38,Chatham,481.00,90.00,18.7
33.01,Muscogee,309.00,58.00,18.8
33.02,Chatham,421.00,79.00,18.8
406.19,Clayton,697.00,131.00,18.8
311.14,Cobb,1718.00,324.00,18.9
502,Monroe,1131.00,216.00,19.1
502.11,Gwinnett,1342.00,259.00,19.3
405.15,Clayton,1714.00,333.00,19.4
303.44,Cobb,655.00,129.00,19.7
405.10,Clayton,762.00,151.00,19.8
3,Muscogee,271.00,54.00,19.9
405.18,Clayton,1170.00,233.00,19.9
406.13,Clayton,2149.00,432.00,20.1
502.15,Gwinnett,816.00,164.00,20.1
4,Dougherty,1498.00,307.00,20.5
402,Peach,1076.00,220.00,20.5
27,Chatham,642.00,132.00,20.6
4,Floyd,1966.00,405.00,20.6
304.14,Cobb,678.00,142.00,20.9
35.02,Chatham,908.00,191.00,21.0
402.03,Clayton,711.00,150.00,21.1
42.10,Chatham,1190.00,251.00,21.1
29.01,Muscogee,583.00,124.00,21.3
314.06,Cobb,1870.00,399.00,21.3
311.16,Cobb,984.00,211.00,21.4
33.01,Chatham,510.00,109.00,21.4
406.22,Clayton,1696.00,365.00,21.5
5.01,Glynn,952.00,205.00,21.5
42.09,Chatham,603.00,132.00,21.9
315.07,Cobb,853.00,188.00,22.0
35.01,Chatham,632.00,139.00,22.0
5.03,Glynn,1010.00,226.00,22.4
406.16,Clayton,1953.00,448.00,22.9
405.25,Clayton,793.00,182.00,23.0
36,Fulton,117.00,27.00,23.1
5,Habersham,1533.00,359.00,23.4
403.07,Clayton,997.00,239.00,24.0
405.14,Clayton,1760.00,426.00,24.2
4.01,Clarke,218.00,54.00,24.8
403.08,Clayton,766.00,192.00,25.1
5.04,Glynn,706.00,177.00,25.1
309.04,Cobb,1696.00,434.00,25.6
3,Richmond,187.00,48.00,25.7
4,Macon,1301.00,335.00,25.8
405.21,Clayton,756.00,195.00,25.8
313.11,Cobb,2318.00,602.00,26.0
404.12,Clayton,1745.00,461.00,26.4
304.12,Cobb,1097.00,291.00,26.5
36.02,Chatham,1022.00,273.00,26.7
4,Whitfield,1496.00,401.00,26.8
405.23,Clayton,762.00,204.00,26.8
311.01,Cobb,1226.00,331.00,27.0
41,Fulton,386.00,105.00,27.2
304.13,Cobb,1443.00,396.00,27.4
404,Peach,914.00,258.00,28.2
4,Elbert,996.00,282.00,28.3
310.04,Cobb,1755.00,501.00,28.6
37,Chatham,462.00,134.00,29.0
405.26,Clayton,1420.00,413.00,29.1
28,Fulton,250.00,73.00,29.2
310.02,Cobb,2149.00,630.00,29.3
405.22,Clayton,1027.00,302.00,29.4
402.02,Clayton,537.00,161.00,30.0
40,Fulton,442.00,133.00,30.1
44,Chatham,571.00,173.00,30.3
42,Fulton,398.00,121.00,30.4
45,Chatham,1013.00,312.00,30.8
308,Cobb,731.00,226.00,30.9
403.02,Clayton,1041.00,322.00,30.9
405.19,Clayton,668.00,207.00,31.0
3,Macon,734.00,229.00,31.2
403.02,Peach,417.00,131.00,31.4
406.17,Clayton,283.00,89.00,31.5
39,Fulton,393.00,124.00,31.6
406.11,Clayton,1419.00,448.00,31.6
403.03,Clayton,1478.00,468.00,31.7
28,Muscogee,400.00,127.00,31.8
42.07,Chatham,891.00,284.00,31.9
5.02,Whitfield,1371.00,443.00,32.3
33.02,Muscogee,531.00,172.00,32.4
4804,Hancock,1112.00,360.00,32.4
36.01,Chatham,846.00,282.00,33.3
29.02,Muscogee,539.00,183.00,34.0
403.06,Clayton,926.00,326.00,35.2
405.16,Clayton,1382.00,491.00,35.5
5,Floyd,830.00,301.00,36.3
406.12,Clayton,1167.00,425.00,36.4
28,Chatham,425.00,156.00,36.7
313.10,Cobb,1723.00,632.00,36.7
304.11,Cobb,734.00,270.00,36.8
43,Fulton,214.00,80.00,37.4
310.01,Cobb,1164.00,451.00,38.8
405.20,Clayton,643.00,250.00,38.9
404.17,Clayton,1082.00,425.00,39.3
404.15,Clayton,1250.00,500.00,40.0
48,Fulton,165.00,69.00,41.8
301,Clarke,948.00,423.00,44.6
311.13,Cobb,242.00,110.00,45.5
302,Clarke,771.00,352.00,45.7
30,Muscogee,658.00,305.00,46.4
4.02,Clarke,6.00,3.00,50.0
26,Fulton,266.00,145.00,54.5
32,Muscogee,367.00,206.00,56.1
34,Muscogee,460.00,266.00,57.8
27,Muscogee,424.00,288.00,67.9
90,Fulton,1167.00,0.00,0.0
93,Fulton,972.00,0.00,0.0
95.01,Fulton,1113.00,0.00,0.0
804.02,Douglas,2139.00,16.00,0.8
805.09,Douglas,1640.00,16.00,1.0
503.08,Gwinnett,1082.00,13.00,1.2
910.07,Cherokee,1900.00,23.00,1.2
503.22,Gwinnett,1415.00,18.00,1.3
701.09,Henry,965.00,16.00,1.7
905.02,Cherokee,3464.00,66.00,1.9
703.09,Henry,1933.00,38.00,2.0
94.04,Fulton,812.00,17.00,2.1
503.21,Gwinnett,1339.00,30.00,2.2
504.29,Gwinnett,2016.00,46.00,2.3
805.11,Douglas,2287.00,52.00,2.3
503.10,Gwinnett,1471.00,35.00,2.4
503.01,Monroe,1211.00,30.00,2.5
507.18,Gwinnett,2205.00,54.00,2.5
507.30,Gwinnett,1887.00,51.00,2.7
91.01,Fulton,771.00,21.00,2.7
505.30,Gwinnett,1640.00,47.00,2.9
702.03,Henry,3890.00,126.00,3.2
505.49,Gwinnett,1338.00,45.00,3.4
703.10,Henry,1154.00,39.00,3.4
9,Chatham,220.00,8.00,3.6
506.07,Gwinnett,4676.00,175.00,3.7
506.10,Gwinnett,4205.00,155.00,3.7
503.02,Monroe,1807.00,69.00,3.8
505.40,Gwinnett,1709.00,65.00,3.8
507.13,Gwinnett,2131.00,81.00,3.8
604.05,Rockdale,1859.00,71.00,3.8
805.08,Douglas,1184.00,45.00,3.8
88,Fulton,1316.00,50.00,3.8
9203.06,Bryan,3150.00,120.00,3.8
604.03,Rockdale,981.00,38.00,3.9
702.02,Henry,3032.00,117.00,3.9
703.06,Henry,2472.00,97.00,3.9
506.06,Gwinnett,6056.00,240.00,4.0
601.01,Rockdale,786.00,32.00,4.1
703.07,Henry,1063.00,43.00,4.1
507.31,Gwinnett,2427.00,104.00,4.3
7,Fulton,117.00,5.00,4.3
908.03,Cherokee,3037.00,130.00,4.3
909.02,Cherokee,4144.00,176.00,4.3
910.08,Cherokee,2220.00,95.00,4.3
911.01,Cherokee,1409.00,61.00,4.3
95.02,Fulton,605.00,26.00,4.3
903,Cherokee,3557.00,160.00,4.5
504.27,Gwinnett,1557.00,73.00,4.7
901,Cherokee,2448.00,114.00,4.7
505.23,Gwinnett,1640.00,79.00,4.8
505.25,Gwinnett,2157.00,104.00,4.8
702.04,Henry,1263.00,60.00,4.8
9203.05,Bryan,1240.00,59.00,4.8
9501,McDuffie,707.00,34.00,4.8
503.09,Gwinnett,2330.00,115.00,4.9
910.06,Cherokee,1359.00,66.00,4.9
504.15,Gwinnett,983.00,49.00,5.0
505.43,Gwinnett,1809.00,91.00,5.0
505.28,Gwinnett,1356.00,71.00,5.2
505.38,Gwinnett,1935.00,100.00,5.2
908.04,Cherokee,2667.00,140.00,5.3
504.25,Gwinnett,1499.00,81.00,5.4
503.11,Gwinnett,705.00,39.00,5.5
505.44,Gwinnett,2996.00,172.00,5.7
506.08,Gwinnett,4173.00,243.00,5.8
909.01,Cherokee,2081.00,120.00,5.8
507.26,Gwinnett,2394.00,144.00,6.0
507.20,Gwinnett,1896.00,116.00,6.1
909.05,Cherokee,957.00,59.00,6.2
504.28,Gwinnett,1615.00,104.00,6.4
505.34,Gwinnett,1982.00,127.00,6.4
805.07,Douglas,945.00,60.00,6.4
902,Cherokee,2067.00,135.00,6.5
94.03,Fulton,613.00,40.00,6.5
507.14,Gwinnett,1503.00,99.00,6.6
507.27,Gwinnett,2809.00,186.00,6.6
505.27,Gwinnett,1603.00,107.00,6.7
505.47,Gwinnett,1918.00,129.00,6.7
505.48,Gwinnett,2266.00,152.00,6.7
703.05,Henry,2549.00,170.00,6.7
8,Whitfield,1975.00,135.00,6.8
507.24,Gwinnett,4218.00,289.00,6.9
7,Floyd,1335.00,92.00,6.9
704.04,Henry,1933.00,133.00,6.9
8,Floyd,1179.00,81.00,6.9
802,Gilmer,1633.00,113.00,6.9
604.06,Rockdale,1440.00,101.00,7.0
506,Pickens,1597.00,113.00,7.1
806.03,Douglas,1736.00,123.00,7.1
89.02,Fulton,902.00,64.00,7.1
603.06,Rockdale,705.00,52.00,7.4
911.03,Cherokee,2498.00,185.00,7.4
6,Fulton,223.00,17.00,7.6
79,Fulton,1271.00,97.00,7.6
