Census Tract,Total Families,Families in Poverty,Percent Families in Poverty
103.02,Dougherty,1203.00,568.00,47.20
103.02,Haralson,2016.00,334.00,16.60
103.02,Lowndes,689.00,0.00,0.00
103.02,Muscogee,1724.00,157.00,9.10
103.02,Wilkes,1104.00,246.00,22.30
103.03,Fulton,2082.00,118.00,5.70
103.04,Fulton,3256.00,114.00,3.50
104,Bibb,451.00,237.00,52.60
104,Chattooga,1405.00,244.00,17.40
104,Coffee,1090.00,212.00,19.50
104,Crisp,1476.00,398.00,27.00
104,Fulton,1991.00,310.00,15.60
104,Haralson,2084.00,370.00,17.80
104,Jackson,1323.00,219.00,16.60
104,Liberty,1844.00,189.00,10.30
104,Morgan,827.00,65.00,7.90
104,Murray,1676.00,220.00,13.10
104,Pike,912.00,153.00,16.80
104,Polk,1362.00,290.00,21.30
104,Richmond,950.00,507.00,53.40
104,Upson,1303.00,131.00,10.10
104.01,Camden,3027.00,315.00,10.40
104.01,Dougherty,2051.00,18.00,0.90
104.01,Lowndes,366.00,6.00,1.60
104.01,Muscogee,1935.00,92.00,4.80
104.02,Camden,1575.00,63.00,4.00
104.02,Dougherty,948.00,169.00,17.80
104.02,Lowndes,1683.00,257.00,15.30
104.02,Muscogee,1017.00,70.00,6.90
104.03,Camden,1218.00,73.00,6.00
104.03,Dougherty,449.00,69.00,15.40
105,Bibb,383.00,328.00,85.60
105,Camden,444.00,115.00,25.90
105,Chattooga,1206.00,199.00,16.50
105,Coffee,829.00,177.00,21.40
105,Crisp,414.00,57.00,13.80
105,Dougherty,557.00,43.00,7.70
105,Jackson,1261.00,185.00,14.70
105,Jasper,2366.00,326.00,13.80
105,Lowndes,909.00,316.00,34.80
105,Morgan,425.00,38.00,8.90
105,Murray,1420.00,163.00,11.50
105,Polk,1502.00,133.00,8.90
105,Upson,1181.00,327.00,27.70
105.01,Chatham,1105.00,579.00,52.40
105.01,Liberty,909.00,71.00,7.80
105.01,Muscogee,1745.00,172.00,9.90
105.02,Chatham,958.00,254.00,26.50
105.02,Liberty,1210.00,188.00,15.50
105.02,Muscogee,337.00,49.00,14.50
105.04,Richmond,1477.00,490.00,33.20
105.06,Richmond,1146.00,363.00,31.70
105.07,Fulton,1511.00,411.00,27.20
105.07,Richmond,1284.00,170.00,13.20
105.08,Fulton,748.00,154.00,20.60
105.08,Richmond,875.00,233.00,26.60
105.09,Richmond,1124.00,313.00,27.90
105.10,Fulton,2983.00,458.00,15.40
105.10,Richmond,1128.00,259.00,23.00
105.11,Fulton,1639.00,155.00,9.50
105.11,Richmond,722.00,281.00,38.90
105.12,Fulton,1308.00,359.00,27.50
105.12,Richmond,1025.00,355.00,34.60
105.13,Fulton,3096.00,602.00,19.40
105.13,Richmond,723.00,113.00,15.60
105.14,Fulton,2849.00,82.00,2.90
105.15,Fulton,1085.00,118.00,10.90
105.16,Fulton,1860.00,409.00,22.00
106,Chattooga,658.00,118.00,17.90
106,Coffee,1446.00,158.00,10.90
106,Jackson,2334.00,340.00,14.60
106,Liberty,466.00,141.00,30.30
106,Murray,1096.00,267.00,24.40
106,Polk,1257.00,180.00,14.30
106,Richmond,1077.00,446.00,41.40
106,Upson,286.00,23.00,8.00
106.01,Camden,1655.00,359.00,21.70
106.01,Chatham,866.00,207.00,23.90
106.01,Dougherty,532.00,218.00,41.00
