Census Tract,Total Families,Families in Poverty,Percent Families in Poverty
1802.05,Barrow,894.00,158.00,17.70
1802.06,Barrow,650.00,65.00,10.00
1803.01,Barrow,576.00,10.00,1.70
1803.02,Barrow,1397.00,119.00,8.50
1803.03,Barrow,1129.00,109.00,9.70
1804.01,Barrow,1601.00,58.00,3.60
1804.02,Barrow,1604.00,166.00,10.40
1805.01,Barrow,1384.00,117.00,8.50
1805.02,Barrow,1272.00,193.00,15.20
1805.03,Barrow,1297.00,82.00,6.30
19,Clarke,599.00,185.00,30.90
19,Fulton,208.00,18.00,8.70
2,Dougherty,701.00,342.00,48.80
2,Elbert,851.00,87.00,10.20
2,Fulton,1267.00,0.00,0.00
2,Glynn,1348.00,14.00,1.00
2,Macon,416.00,73.00,17.60
2,Muscogee,655.00,79.00,12.10
2,Richmond,528.00,194.00,36.70
2,Whitfield,1090.00,115.00,10.60
2.01,Floyd,1650.00,207.00,12.60
2.01,Habersham,1161.00,67.00,5.80
2.01,Hall,1428.00,312.00,21.90
2.01,Union,680.00,47.00,6.90
2.02,Floyd,1117.00,46.00,4.10
2.02,Habersham,1436.00,49.00,3.40
2.03,Hall,1164.00,12.00,1.00
2.03,Union,620.00,61.00,9.80
2.04,Hall,1190.00,78.00,6.60
2.04,Union,821.00,47.00,5.70
2.05,Union,1576.00,93.00,5.90
20,Chatham,246.00,49.00,19.90
20,Clarke,389.00,20.00,5.10
20,Floyd,1251.00,175.00,14.00
20,Muscogee,763.00,166.00,21.80
2001,Seminole,711.00,83.00,11.70
2002,Seminole,947.00,197.00,20.80
2003,Seminole,672.00,132.00,19.60
201,Chattahoochee,632.00,97.00,15.40
201,DeKalb,518.00,15.00,2.90
201,Lee,1929.00,222.00,11.50
201,Madison,1246.00,234.00,18.80
201,Walker,1588.00,335.00,21.10
201.05,Houston,1742.00,517.00,29.70
201.06,Houston,802.00,101.00,12.60
201.08,Houston,1396.00,131.00,9.40
201.09,Houston,2509.00,236.00,9.40
202,DeKalb,413.00,30.00,7.30
202,Houston,1319.00,346.00,26.20
202,Lee,411.00,75.00,18.30
202,Madison,1258.00,143.00,11.40
202,Walker,904.00,243.00,26.90
202.01,Chattahoochee,265.00,24.00,9.10
202.03,Chattahoochee,429.00,20.00,4.70
202.05,Chattahoochee,607.00,73.00,12.00
202.06,Chattahoochee,0.00,0.00,
203,DeKalb,960.00,32.00,3.30
203,Houston,1604.00,605.00,37.70
203,Lee,1427.00,163.00,11.40
203,Madison,1150.00,155.00,13.50
203.01,Walker,1296.00,298.00,23.00
203.02,Walker,1524.00,171.00,11.20
204,DeKalb,564.00,37.00,6.60
204,Houston,597.00,267.00,44.70
204,Madison,1332.00,47.00,3.50
204,Walker,864.00,90.00,10.40
204.02,Lee,2325.00,232.00,10.00
204.03,Lee,1808.00,67.00,3.70
205,DeKalb,659.00,99.00,15.00
205,Madison,1775.00,163.00,9.20
205.01,Walker,2202.00,269.00,12.20
205.02,Walker,1877.00,285.00,15.20
206,DeKalb,500.00,166.00,33.20
206,Houston,249.00,15.00,6.00
206,Madison,672.00,117.00,17.40
206.01,Walker,1736.00,70.00,4.00
206.02,Walker,1168.00,98.00,8.40
207,DeKalb,447.00,57.00,12.80
207,Houston,713.00,212.00,29.70
207,Walker,1833.00,297.00,16.20
208,Houston,604.00,125.00,20.70
208,Walker,895.00,107.00,12.00
208.01,DeKalb,585.00,24.00,4.10
208.02,DeKalb,1015.00,118.00,11.60
209,DeKalb,1206.00,51.00,4.20
209,Houston,1071.00,239.00,22.30
209.01,Walker,1668.00,156.00,9.40
209.02,Walker,532.00,48.00,9.00
21,Chatham,448.00,73.00,16.30
21,Clarke,307.00,10.00,3.30
21,Floyd,733.00,137.00,18.70
21,Fulton,341.00,112.00,32.80
21,Muscogee,603.00,150.00,24.90
210,Houston,1579.00,220.00,13.90
211.01,DeKalb,1033.00,12.00,1.20
211.02,DeKalb,1040.00,34.00,3.30
211.03,Houston,3119.00,153.00,4.90
211.04,Houston,1785.00,397.00,22.20
211.05,Houston,1542.00,287.00,18.60
211.07,Houston,2451.00,332.00,13.60
211.08,Houston,1871.00,200.00,10.70
211.13,Houston,4841.00,435.00,9.00
212.01,Houston,2343.00,106.00,4.50
212.02,DeKalb,1880.00,29.00,1.50
212.02,Houston,1464.00,131.00,9.00
212.04,DeKalb,522.00,273.00,52.30
212.08,DeKalb,898.00,113.00,12.60
212.09,DeKalb,1272.00,137.00,10.80
212.10,DeKalb,1666.00,18.00,1.10
212.11,DeKalb,1322.00,18.00,1.40
212.13,DeKalb,1087.00,46.00,4.20
212.14,DeKalb,1663.00,25.00,1.50
212.15,DeKalb,1450.00,130.00,9.00
212.16,DeKalb,1645.00,68.00,4.10
212.17,DeKalb,577.00,38.00,6.60
212.18,DeKalb,1109.00,107.00,9.70
213,Houston,1127.00,190.00,16.90
213.01,DeKalb,644.00,130.00,20.20
213.03,DeKalb,1224.00,217.00,17.70
213.05,DeKalb,1056.00,222.00,21.00
213.06,DeKalb,1059.00,95.00,9.00
213.07,DeKalb,793.00,160.00,20.20
213.08,DeKalb,831.00,170.00,20.50
214,Houston,2068.00,276.00,13.40
214.05,DeKalb,966.00,91.00,9.40
214.09,DeKalb,621.00,188.00,30.30
214.10,DeKalb,1060.00,316.00,29.80
214.11,DeKalb,625.00,28.00,4.50
214.12,DeKalb,847.00,20.00,2.40
214.13,DeKalb,798.00,166.00,20.80
214.14,DeKalb,656.00,169.00,25.80
214.15,DeKalb,762.00,115.00,15.10
214.16,DeKalb,516.00,133.00,25.80
214.17,DeKalb,871.00,247.00,28.40
215,Houston,1136.00,57.00,5.00
215.02,DeKalb,793.00,67.00,8.50
215.03,DeKalb,830.00,93.00,11.20
215.04,DeKalb,827.00,31.00,3.80
216.02,DeKalb,756.00,42.00,5.60
216.03,DeKalb,787.00,0.00,0.00
216.04,DeKalb,837.00,18.00,2.20
216.05,DeKalb,1158.00,258.00,22.30
217.03,DeKalb,1219.00,62.00,5.10
217.04,DeKalb,1533.00,86.00,5.60
217.05,DeKalb,833.00,75.00,9.00
217.06,DeKalb,1433.00,12.00,0.80
218.05,DeKalb,1518.00,167.00,11.00
218.06,DeKalb,1445.00,187.00,12.90
218.08,DeKalb,1149.00,148.00,12.90
218.09,DeKalb,1892.00,53.00,2.80
218.10,DeKalb,1316.00,92.00,7.00
218.12,DeKalb,517.00,42.00,8.10
218.13,DeKalb,632.00,140.00,22.20
218.14,DeKalb,1065.00,262.00,24.60
219.06,DeKalb,1204.00,214.00,17.80
219.07,DeKalb,2291.00,279.00,12.20
219.08,DeKalb,1033.00,427.00,41.30
219.09,DeKalb,1488.00,547.00,36.80
219.10,DeKalb,1207.00,243.00,20.10
219.11,DeKalb,365.00,197.00,54.00
219.12,DeKalb,1119.00,42.00,3.80
219.13,DeKalb,1093.00,446.00,40.80
22,Chatham,879.00,131.00,14.90
22,Clarke,337.00,28.00,8.30
22,Muscogee,647.00,259.00,40.00
220.01,DeKalb,945.00,119.00,12.60
220.04,DeKalb,1259.00,202.00,16.00
220.05,DeKalb,1001.00,314.00,31.40
220.07,DeKalb,817.00,338.00,41.40
220.08,DeKalb,1635.00,757.00,46.30
220.09,DeKalb,967.00,297.00,30.70
220.10,DeKalb,528.00,125.00,23.70
221,DeKalb,756.00,186.00,24.60
222.03,DeKalb,370.00,26.00,7.00
222.04,DeKalb,1614.00,340.00,21.10
223.01,DeKalb,1167.00,77.00,6.60
223.02,DeKalb,993.00,133.00,13.40
224.01,DeKalb,796.00,70.00,8.80
224.02,DeKalb,151.00,5.00,3.30
224.03,DeKalb,1069.00,9.00,0.80
225,DeKalb,1298.00,193.00,14.90
226,DeKalb,1324.00,27.00,2.00
227,DeKalb,1136.00,113.00,10.00
228,DeKalb,819.00,30.00,3.70
229,DeKalb,802.00,33.00,4.10
23,Chatham,436.00,153.00,35.10
23,Fulton,224.00,54.00,24.10
23,Muscogee,393.00,91.00,23.20
230,DeKalb,484.00,5.00,1.00
231.01,DeKalb,970.00,145.00,15.00
231.02,DeKalb,859.00,127.00,14.80
231.07,DeKalb,1068.00,278.00,26.00
231.08,DeKalb,868.00,282.00,32.50
231.11,DeKalb,457.00,71.00,15.50
231.12,DeKalb,878.00,318.00,15.10
231.13,DeKalb,626.00,176.00,28.10
231.14,DeKalb,565.00,134.00,23.70
231.15,DeKalb,0.00,0.00,
232.04,DeKalb,1589.00,366.00,23.00
232.06,DeKalb,1665.00,308.00,18.50
232.08,DeKalb,1490.00,278.00,18.70
232.09,DeKalb,1392.00,184.00,13.20
232.10,DeKalb,1382.00,220.00,15.90
232.11,DeKalb,762.00,55.00,7.20
232.12,DeKalb,764.00,77.00,10.10
232.13,DeKalb,1375.00,188.00,13.70
232.14,DeKalb,1412.00,280.00,19.80
233.03,DeKalb,1499.00,226.00,15.10
233.06,DeKalb,1761.00,263.00,14.90
233.09,DeKalb,2167.00,350.00,16.20
233.10,DeKalb,1967.00,532.00,27.10
233.11,DeKalb,1089.00,117.00,10.70
233.12,DeKalb,2448.00,221.00,9.00
233.13,DeKalb,1180.00,229.00,19.40
233.14,DeKalb,1350.00,88.00,6.50
233.15,DeKalb,1240.00,69.00,5.60
233.16,DeKalb,2122.00,147.00,6.90
234.10,DeKalb,829.00,183.00,22.10
234.11,DeKalb,944.00,186.00,19.70
234.12,DeKalb,1483.00,161.00,10.90
234.13,DeKalb,886.00,84.00,9.50
234.14,DeKalb,1676.00,198.00,11.80
234.16,DeKalb,1691.00,231.00,13.70
234.18,DeKalb,4530.00,488.00,10.80
234.19,DeKalb,2245.00,236.00,10.50
234.21,DeKalb,1753.00,480.00,27.40
234.22,DeKalb,1323.00,163.00,12.30
234.23,DeKalb,1757.00,96.00,5.50
234.24,DeKalb,1376.00,139.00,10.10
234.25,DeKalb,1289.00,91.00,7.10
234.26,DeKalb,1038.00,83.00,8.00
234.27,DeKalb,762.00,43.00,5.60
234.28,DeKalb,2321.00,466.00,20.10
235.01,DeKalb,793.00,204.00,25.70
235.04,DeKalb,697.00,274.00,39.30
235.05,DeKalb,679.00,65.00,9.60
235.06,DeKalb,1339.00,271.00,20.20
235.07,DeKalb,872.00,133.00,15.30
236.01,DeKalb,545.00,89.00,16.30
236.02,DeKalb,478.00,96.00,20.10
236.03,DeKalb,777.00,220.00,28.30
237,DeKalb,993.00,194.00,19.50
238.01,DeKalb,792.00,18.00,2.30
238.02,DeKalb,822.00,239.00,29.10
238.03,DeKalb,1110.00,210.00,18.90
24,Fulton,404.00,115.00,28.50
24,Muscogee,321.00,176.00,54.80
25,Fulton,324.00,119.00,36.70
25,Muscogee,242.00,180.00,74.40
26,Chatham,331.00,36.00,10.90
26,Fulton,266.00,145.00,54.50
27,Chatham,642.00,132.00,20.60
27,Muscogee,424.00,288.00,67.90
28,Chatham,425.00,156.00,36.70
28,Fulton,250.00,73.00,29.20
28,Muscogee,400.00,127.00,31.80
29,Chatham,835.00,55.00,6.60
29,Fulton,288.00,5.00,1.70
29.01,Muscogee,583.00,124.00,21.30
29.02,Muscogee,539.00,183.00,34.00
3,Chatham,198.00,0.00,0.00
3,Elbert,1023.00,173.00,16.90
3,Floyd,344.00,28.00,8.10
3,Glynn,1940.00,123.00,6.30
3,Habersham,960.00,105.00,10.90
3,Macon,734.00,229.00,31.20
3,Muscogee,271.00,54.00,19.90
3,Richmond,187.00,48.00,25.70
3.01,Whitfield,1000.00,178.00,17.80
3.02,Hall,1927.00,108.00,5.60
3.02,Whitfield,2480.00,137.00,5.50
3.03,Hall,645.00,75.00,11.60
3.04,Hall,996.00,55.00,5.50
3.05,Hall,1358.00,84.00,6.20
30,Chatham,531.00,53.00,10.00
30,Fulton,546.00,0.00,0.00
30,Muscogee,658.00,305.00,46.40
301,Catoosa,1676.00,227.00,13.50
301,Clarke,948.00,423.00,44.60
301,Effingham,989.00,49.00,5.00
301,Oconee,3286.00,106.00,3.20
301.01,Cobb,2209.00,291.00,13.20
301.01,Jones,823.00,0.00,0.00
301.02,Columbia,2970.00,42.00,1.40
301.03,Cobb,2410.00,133.00,5.50
301.03,Columbia,906.00,24.00,2.70
301.03,Jones,612.00,73.00,11.90
301.04,Cobb,871.00,110.00,12.60
301.04,Jones,1954.00,331.00,16.90
301.05,Columbia,1408.00,56.00,4.00
301.06,Cobb,1821.00,244.00,13.40
301.06,Columbia,1077.00,108.00,10.00
301.07,Cobb,1304.00,20.00,1.50
302,Clarke,771.00,352.00,45.70
302,Jones,904.00,125.00,13.80
302,Oconee,1651.00,192.00,11.60
302.01,Catoosa,1240.00,132.00,10.70
302.01,Columbia,1288.00,62.00,4.80
302.02,Catoosa,1782.00,51.00,2.90
302.02,Columbia,822.00,93.00,11.30
302.02,Effingham,1479.00,146.00,9.90
302.03,Columbia,1716.00,96.00,5.60
302.03,Effingham,2207.00,189.00,8.60
302.04,Effingham,914.00,132.00,14.40
302.09,Cobb,2017.00,13.00,0.60
302.14,Cobb,2093.00,86.00,4.10
302.15,Cobb,2401.00,113.00,4.70
302.18,Cobb,1556.00,42.00,2.70
302.19,Cobb,2632.00,119.00,4.50
302.20,Cobb,492.00,9.00,1.80
302.22,Cobb,1600.00,106.00,6.60
302.23,Cobb,1493.00,0.00,0.00
302.24,Cobb,1755.00,97.00,5.50
302.26,Cobb,2425.00,109.00,4.50
302.27,Cobb,1901.00,90.00,4.70
302.28,Cobb,1421.00,171.00,12.00
302.29,Cobb,660.00,57.00,8.60
302.30,Cobb,3468.00,172.00,5.00
302.31,Cobb,2382.00,44.00,1.90
302.32,Cobb,1688.00,16.00,1.00
302.33,Cobb,1200.00,26.00,2.20
302.34,Cobb,1815.00,50.00,2.80
302.35,Cobb,1377.00,32.00,2.30
302.36,Cobb,1296.00,30.00,2.30
302.38,Cobb,1923.00,46.00,2.40
302.39,Cobb,2283.00,82.00,3.60
303,Oconee,1541.00,64.00,4.20
303.01,Catoosa,2093.00,97.00,4.60
303.01,Effingham,1360.00,51.00,3.80
303.01,Jones,1849.00,113.00,6.10
303.02,Columbia,3227.00,258.00,8.00
303.02,Jones,1768.00,209.00,11.80
303.03,Catoosa,982.00,37.00,3.80
303.03,Effingham,666.00,92.00,13.80
303.04,Catoosa,988.00,54.00,5.50
303.04,Columbia,2031.00,32.00,1.60
303.04,Effingham,1753.00,121.00,6.90
303.05,Effingham,2027.00,67.00,3.30
303.06,Columbia,1464.00,105.00,7.20
303.07,Columbia,1832.00,49.00,2.70
303.08,Columbia,2538.00,122.00,4.80
303.09,Columbia,2693.00,103.00,3.80
303.10,Cobb,2215.00,115.00,5.20
303.11,Cobb,1656.00,99.00,6.00
303.12,Cobb,1778.00,0.00,0.00
303.13,Cobb,2363.00,26.00,1.10
303.14,Cobb,2239.00,93.00,4.20
303.18,Cobb,2350.00,49.00,2.10
303.19,Cobb,1076.00,34.00,3.20
303.20,Cobb,2130.00,80.00,3.80
303.22,Cobb,1004.00,7.00,0.70
303.24,Cobb,1041.00,23.00,2.20
303.26,Cobb,1340.00,19.00,1.40
303.27,Cobb,1258.00,19.00,1.50
303.28,Cobb,1942.00,0.00,0.00
303.29,Cobb,1213.00,39.00,3.20
303.30,Cobb,1671.00,30.00,1.80
303.31,Cobb,1656.00,21.00,1.30
303.32,Cobb,926.00,29.00,3.10
303.33,Cobb,1763.00,54.00,3.10
303.34,Cobb,989.00,33.00,3.30
303.35,Cobb,1450.00,35.00,2.40
303.36,Cobb,2184.00,51.00,2.30
303.37,Cobb,1329.00,26.00,2.00
303.39,Cobb,933.00,28.00,3.00
303.40,Cobb,1184.00,8.00,0.70
303.41,Cobb,1249.00,21.00,1.70
303.42,Cobb,1365.00,39.00,2.90
303.43,Cobb,1391.00,36.00,2.60
303.44,Cobb,655.00,129.00,19.70
303.45,Cobb,1123.00,205.00,18.30
304,Oconee,1942.00,95.00,4.90
304.01,Catoosa,1945.00,89.00,4.60
304.01,Columbia,605.00,73.00,12.10
304.01,Effingham,1291.00,77.00,6.00
304.02,Catoosa,1857.00,196.00,10.60
304.02,Columbia,2337.00,229.00,9.80
304.02,Effingham,1560.00,196.00,12.60
304.05,Cobb,1413.00,158.00,11.20
304.07,Cobb,1238.00,105.00,8.50
304.08,Cobb,954.00,71.00,7.40
304.09,Cobb,1005.00,40.00,4.00
304.10,Cobb,1161.00,103.00,8.90
304.11,Cobb,734.00,270.00,36.80
304.12,Cobb,1097.00,291.00,26.50
304.13,Cobb,1443.00,396.00,27.40
304.14,Cobb,678.00,142.00,20.90
305,Catoosa,1432.00,171.00,11.90
305,Oconee,627.00,19.00,3.00
305.02,Cobb,1878.00,99.00,5.30
305.03,Columbia,2069.00,220.00,10.60
305.04,Cobb,1679.00,273.00,16.30
305.04,Columbia,931.00,150.00,16.10
305.05,Cobb,1664.00,179.00,10.80
305.05,Columbia,1752.00,216.00,12.30
305.06,Cobb,1054.00,66.00,6.30
305.06,Columbia,3088.00,381.00,12.30
305.07,Cobb,1442.00,92.00,6.40
306,Catoosa,1341.00,138.00,10.30
306,Oconee,813.00,57.00,7.00
306.01,Cobb,1718.00,141.00,8.20
306.02,Cobb,1762.00,68.00,3.90
306.03,Columbia,1034.00,193.00,18.70
307,Catoosa,2055.00,354.00,17.20
307,Cobb,1098.00,149.00,13.60
308,Cobb,731.00,226.00,30.90
309.01,Cobb,2153.00,124.00,5.80
309.02,Cobb,1458.00,146.00,10.00
309.04,Cobb,1696.00,434.00,25.60
309.05,Cobb,1363.00,216.00,15.90
31,Fulton,329.00,34.00,10.30
310.01,Cobb,1164.00,451.00,38.80
310.02,Cobb,2149.00,630.00,29.30
310.04,Cobb,1755.00,501.00,28.60
310.05,Cobb,1240.00,216.00,17.40
311.01,Cobb,1226.00,331.00,27.00
311.06,Cobb,2165.00,186.00,8.60
311.08,Cobb,1102.00,141.00,12.80
311.10,Cobb,799.00,129.00,16.20
311.11,Cobb,784.00,74.00,9.40
311.12,Cobb,1533.00,45.00,2.90
311.13,Cobb,242.00,110.00,45.50
311.14,Cobb,1718.00,324.00,18.90
311.15,Cobb,1140.00,199.00,17.50
311.16,Cobb,984.00,211.00,21.40
311.17,Cobb,1530.00,160.00,10.50
311.18,Cobb,1496.00,133.00,8.90
312.05,Cobb,1410.00,92.00,6.50
312.06,Cobb,2533.00,68.00,2.70
312.07,Cobb,990.00,35.00,3.50
312.08,Cobb,1641.00,68.00,4.10
312.09,Cobb,1366.00,40.00,2.90
312.11,Cobb,736.00,0.00,0.00
312.12,Cobb,775.00,24.00,3.10
313.06,Cobb,1095.00,201.00,18.40
313.07,Cobb,1645.00,61.00,3.70
313.08,Cobb,1402.00,189.00,13.50
313.09,Cobb,2004.00,317.00,15.80
313.10,Cobb,1723.00,632.00,36.70
313.11,Cobb,2318.00,602.00,26.00
313.12,Cobb,2370.00,214.00,9.00
313.13,Cobb,2866.00,100.00,3.50
314.04,Cobb,1475.00,59.00,4.00
314.05,Cobb,2184.00,362.00,16.60
314.06,Cobb,1870.00,399.00,21.30
314.08,Cobb,1251.00,40.00,3.20
314.09,Cobb,1282.00,212.00,16.50
315.03,Cobb,2456.00,256.00,10.40
315.05,Cobb,1643.00,135.00,8.20
315.06,Cobb,1187.00,204.00,17.20
315.07,Cobb,853.00,188.00,22.00
315.08,Cobb,1511.00,53.00,3.50
315.09,Cobb,2740.00,66.00,2.40
32,Fulton,329.00,7.00,2.10
32,Muscogee,367.00,206.00,56.10
33.01,Chatham,510.00,109.00,21.40
33.01,Muscogee,309.00,58.00,18.80
33.02,Chatham,421.00,79.00,18.80
33.02,Muscogee,531.00,172.00,32.40
34,Chatham,882.00,130.00,14.70
34,Muscogee,460.00,266.00,57.80
35,Fulton,115.00,0.00,0.00
35.01,Chatham,632.00,139.00,22.00
35.02,Chatham,908.00,191.00,21.00
36,Fulton,117.00,27.00,23.10
36.01,Chatham,846.00,282.00,33.30
36.02,Chatham,1022.00,273.00,26.70
37,Chatham,462.00,134.00,29.00
37,Fulton,0.00,0.00,
38,Chatham,481.00,90.00,18.70
38,Fulton,37.00,3.00,8.10
39,Chatham,919.00,144.00,15.70
39,Fulton,393.00,124.00,31.60
4,Dougherty,1498.00,307.00,20.50
4,Elbert,996.00,282.00,28.30
4,Floyd,1966.00,405.00,20.60
4,Fulton,322.00,6.00,1.90
4,Habersham,1274.00,99.00,7.80
4,Hall,1542.00,177.00,11.50
4,Macon,1301.00,335.00,25.80
4,Muscogee,666.00,38.00,5.70
4,Whitfield,1496.00,401.00,26.80
4.01,Clarke,218.00,54.00,24.80
4.01,Glynn,2150.00,328.00,15.30
4.02,Clarke,6.00,3.00,50.00
4.03,Glynn,892.00,82.00,9.20
4.04,Glynn,3253.00,390.00,12.00
40,Fulton,442.00,133.00,30.10
40.01,Chatham,1030.00,92.00,8.90
40.02,Chatham,722.00,89.00,12.30
401.01,Dade,1288.00,97.00,7.50
401.01,Peach,533.00,26.00,4.90
401.02,Dade,969.00,83.00,8.60
401.02,Peach,2790.00,358.00,12.80
402,Dade,1230.00,158.00,12.90
402,Peach,1076.00,220.00,20.50
402.02,Clayton,537.00,161.00,30.00
402.03,Clayton,711.00,150.00,21.10
402.04,Clayton,696.00,123.00,17.70
403,Dade,922.00,139.00,15.10
403.01,Peach,763.00,91.00,11.90
403.02,Clayton,1041.00,322.00,30.90
403.02,Peach,417.00,131.00,31.40
403.03,Clayton,1478.00,468.00,31.70
403.06,Clayton,926.00,326.00,35.20
403.07,Clayton,997.00,239.00,24.00
403.08,Clayton,766.00,192.00,25.10
404,Peach,914.00,258.00,28.20
404.07,Clayton,813.00,107.00,13.20
404.08,Clayton,1756.00,258.00,14.70
404.09,Clayton,1362.00,81.00,6.00
404.10,Clayton,1408.00,228.00,16.20
404.11,Clayton,3261.00,165.00,5.10
404.12,Clayton,1745.00,461.00,26.40
404.13,Clayton,1595.00,266.00,16.70
404.14,Clayton,439.00,73.00,16.60
404.15,Clayton,1250.00,500.00,40.00
404.16,Clayton,826.00,137.00,16.60
404.17,Clayton,1082.00,425.00,39.30
405.09,Clayton,1226.00,135.00,11.00
405.10,Clayton,762.00,151.00,19.80
405.12,Clayton,1374.00,233.00,17.00
405.13,Clayton,1131.00,123.00,10.90
405.14,Clayton,1760.00,426.00,24.20
405.15,Clayton,1714.00,333.00,19.40
405.16,Clayton,1382.00,491.00,35.50
405.18,Clayton,1170.00,233.00,19.90
405.19,Clayton,668.00,207.00,31.00
405.20,Clayton,643.00,250.00,38.90
405.21,Clayton,756.00,195.00,25.80
405.22,Clayton,1027.00,302.00,29.40
405.23,Clayton,762.00,204.00,26.80
405.24,Clayton,1781.00,219.00,12.30
405.25,Clayton,793.00,182.00,23.00
405.26,Clayton,1420.00,413.00,29.10
406.06,Clayton,616.00,100.00,16.20
406.08,Clayton,2708.00,292.00,10.80
406.09,Clayton,1280.00,42.00,3.30
406.11,Clayton,1419.00,448.00,31.60
406.12,Clayton,1167.00,425.00,36.40
406.13,Clayton,2149.00,432.00,20.10
406.14,Clayton,1237.00,66.00,5.30
406.15,Clayton,489.00,49.00,10.00
406.16,Clayton,1953.00,448.00,22.90
406.17,Clayton,283.00,89.00,31.50
406.19,Clayton,697.00,131.00,18.80
406.20,Clayton,862.00,93.00,10.80
406.21,Clayton,2384.00,292.00,12.30
406.22,Clayton,1696.00,365.00,21.50
41,Chatham,503.00,28.00,5.60
41,Fulton,386.00,105.00,27.20
42,Fulton,398.00,121.00,30.40
42.07,Chatham,891.00,284.00,31.90
42.08,Chatham,1121.00,120.00,10.70
42.09,Chatham,603.00,132.00,21.90
42.10,Chatham,1190.00,251.00,21.10
42.11,Chatham,1169.00,120.00,10.30
42.12,Chatham,1203.00,64.00,5.30
43,Chatham,541.00,54.00,10.00
43,Fulton,214.00,80.00,37.40
44,Chatham,571.00,173.00,30.30
44,Fulton,484.00,202.00,41.70
45,Chatham,1013.00,312.00,30.80
48,Fulton,165.00,69.00,41.80
4803,Hancock,535.00,57.00,10.70
4804,Hancock,1112.00,360.00,32.40
49,Fulton,589.00,98.00,16.60
5,Elbert,1454.00,239.00,16.40
5,Floyd,830.00,301.00,36.30
5,Fulton,912.00,39.00,4.30
5,Habersham,1533.00,359.00,23.40
5,Hall,1891.00,232.00,12.30
5.01,Dougherty,1197.00,69.00,5.80
5.01,Glynn,952.00,205.00,21.50
5.01,Whitfield,906.00,128.00,14.10
5.02,Dougherty,1256.00,36.00,2.90
5.02,Whitfield,1371.00,443.00,32.30
5.03,Glynn,1010.00,226.00,22.40
5.04,Glynn,706.00,177.00,25.10
50,Fulton,291.00,9.00,3.10
501,Fannin,1098.00,125.00,11.40
501,Pickens,1870.00,31.00,1.70
501.01,Monroe,1632.00,246.00,15.10
501.02,Monroe,1047.00,128.00,12.20
501.03,Gwinnett,2717.00,200.00,7.40
501.05,Gwinnett,857.00,147.00,17.20
501.06,Gwinnett,2735.00,273.00,10.00
501.07,Gwinnett,1866.00,65.00,3.50
501.08,Gwinnett,2654.00,69.00,2.60
501.09,Gwinnett,1887.00,183.00,9.70
502,Fannin,1679.00,162.00,9.70
502,Monroe,1131.00,216.00,19.10
502,Pickens,1690.00,40.00,2.40
502.05,Gwinnett,1102.00,52.00,4.70
502.08,Gwinnett,1581.00,80.00,5.10
502.09,Gwinnett,2271.00,336.00,14.80
502.10,Gwinnett,1734.00,196.00,11.30
502.11,Gwinnett,1342.00,259.00,19.30
502.12,Gwinnett,3535.00,44.00,1.20
502.13,Gwinnett,3408.00,314.00,9.20
502.14,Gwinnett,2465.00,170.00,6.90
502.15,Gwinnett,816.00,164.00,20.10
502.16,Gwinnett,2222.00,92.00,4.10
502.17,Gwinnett,2960.00,123.00,4.20
502.18,Gwinnett,923.00,60.00,6.50
502.19,Gwinnett,963.00,82.00,8.50
502.20,Gwinnett,1417.00,292.00,20.60
503,Fannin,675.00,75.00,11.10
503,Pickens,1145.00,108.00,9.40
503.01,Monroe,1211.00,30.00,2.50
503.02,Monroe,1807.00,69.00,3.80
503.04,Gwinnett,1056.00,222.00,21.00
503.06,Gwinnett,861.00,226.00,26.30
503.08,Gwinnett,1082.00,13.00,1.20
503.09,Gwinnett,2330.00,115.00,4.90
503.10,Gwinnett,1471.00,35.00,2.40
503.11,Gwinnett,705.00,39.00,5.50
503.13,Gwinnett,1959.00,389.00,19.90
503.14,Gwinnett,2249.00,257.00,11.40
503.15,Gwinnett,1177.00,178.00,15.10
503.17,Gwinnett,742.00,195.00,26.30
503.18,Gwinnett,580.00,63.00,10.90
503.19,Gwinnett,1381.00,397.00,28.80
503.20,Gwinnett,1192.00,313.00,26.30
503.21,Gwinnett,1339.00,30.00,2.20
503.22,Gwinnett,1415.00,18.00,1.30
504,Fannin,1828.00,371.00,20.30
504,Pickens,1036.00,166.00,16.00
504.10,Gwinnett,1292.00,314.00,24.30
504.15,Gwinnett,983.00,49.00,5.00
504.16,Gwinnett,814.00,154.00,18.90
504.17,Gwinnett,1167.00,381.00,32.70
504.18,Gwinnett,1533.00,546.00,35.60
504.19,Gwinnett,1706.00,365.00,21.40
504.21,Gwinnett,1755.00,551.00,31.40
504.22,Gwinnett,1828.00,550.00,30.10
504.23,Gwinnett,1706.00,153.00,9.00
504.24,Gwinnett,1660.00,348.00,21.00
504.25,Gwinnett,1499.00,81.00,5.40
504.26,Gwinnett,1880.00,161.00,8.60
504.27,Gwinnett,1557.00,73.00,4.70
504.28,Gwinnett,1615.00,104.00,6.40
504.29,Gwinnett,2016.00,46.00,2.30
504.30,Gwinnett,1414.00,134.00,9.50
504.31,Gwinnett,2088.00,340.00,16.30
504.32,Gwinnett,1422.00,179.00,12.60
504.33,Gwinnett,544.00,67.00,12.30
504.34,Gwinnett,1636.00,520.00,31.80
504.35,Gwinnett,858.00,129.00,15.00
504.36,Gwinnett,1706.00,244.00,14.30
505,Fannin,1390.00,158.00,11.40
